commune,centre_code,centre_name,nb_bureaux,registered_total
BONOUA,1,ECOLE METHODISTE,7,3081
BONOUA,2,GS AWOSSI AHOULOU 1,7,3072
BONOUA,3,GS MOULO BROU AN 2000,6,2467
BONOUA,4,EPP BONOUA HARRIS 1-2,5,1851
BONOUA,5,GS BONOUA MUNICIPALITE,4,1644
BONOUA,6,EPP IMPERIE,4,1461
BONOUA,7,GS BONHI ADJA,8,3516
BONOUA,8,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,10,4093
BONOUA,9,EPP ADIAHO,4,1413
BONOUA,10,EPP SAMO,8,3344
BONOUA,11,EPP YAHOU A ET B,7,2894
BONOUA,12,EPP HARRIS 1-2,6,2373
BONOUA,13,GROUPE SCOLAIRE OBROU KOUASSI,6,2290
BONOUA,14,COLLEGE CHRIST-ROI,5,2008
BONOUA,15,GROUPE SCOLAIRE EMMANUEL,5,1952
BONOUA,16,EPP AMETHIER JEAN BAPTISTE,5,1850
BONOUA,17,PLACE PUBLIQUE KODJOBOUE,2,820
BONOUA,18,COLLEGE JESUS-MARIE,2,637
BONOUA,19,EPP ANDRE MAUD,1,417
BONOUA,20,FOYER DES JEUNES DE BONOUA,3,1251
BONOUA,21,EPP YAOU C ET D,4,1363
