center_code,center_name,center_display,segment,nb_bureaux,registered_total,commune
001,ECOLE METHODISTE,001 - ECOLE METHODISTE,COMMUNE,7,3081,BONOUA
002,GS AWOSSI AHOULOU 1,002 - GS AWOSSI AHOULOU 1,COMMUNE,7,3072,BONOUA
003,GS MOULO BROU AN 2000,003 - GS MOULO BROU AN 2000,COMMUNE,6,2467,BONOUA
004,EPP BONOUA HARRIS 1-2,004 - EPP BONOUA HARRIS 1-2,COMMUNE,5,1851,BONOUA
005,GS BONOUA MUNICIPALITE,005 - GS BONOUA MUNICIPALITE,COMMUNE,4,1644,BONOUA
006,EPP IMPERIE,006 - EPP IMPERIE,COMMUNE,4,1461,BONOUA
007,GS BONHI ADJA,007 - GS BONHI ADJA,COMMUNE,8,3516,BONOUA
008,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,008 - GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,COMMUNE,10,4093,BONOUA
009,EPP ADIAHO,009 - EPP ADIAHO,COMMUNE,4,1413,BONOUA
010,EPP SAMO,010 - EPP SAMO,COMMUNE,8,3344,BONOUA
011,EPP YAHOU A ET B,011 - EPP YAHOU A ET B,COMMUNE,7,2894,BONOUA
012,EPP HARRIS 1-2,012 - EPP HARRIS 1-2,COMMUNE,6,2373,BONOUA
013,GROUPE SCOLAIRE OBROU KOUASSI,013 - GROUPE SCOLAIRE OBROU KOUASSI,COMMUNE,6,2290,BONOUA
014,COLLEGE CHRIST-ROI,014 - COLLEGE CHRIST-ROI,COMMUNE,5,2008,BONOUA
015,GROUPE SCOLAIRE EMMANUEL,015 - GROUPE SCOLAIRE EMMANUEL,COMMUNE,5,1952,BONOUA
016,EPP AMETHIER JEAN BAPTISTE,016 - EPP AMETHIER JEAN BAPTISTE,COMMUNE,5,1850,BONOUA
017,PLACE PUBLIQUE KODJOBOUE,017 - PLACE PUBLIQUE KODJOBOUE,COMMUNE,2,820,BONOUA
018,COLLEGE JESUS-MARIE,018 - COLLEGE JESUS-MARIE,COMMUNE,2,637,BONOUA
019,EPP ANDRE MAUD,019 - EPP ANDRE MAUD,COMMUNE,1,417,BONOUA
020,FOYER DES JEUNES DE BONOUA,020 - FOYER DES JEUNES DE BONOUA,COMMUNE,3,1251,BONOUA
021,EPP YAOU C ET D,021 - EPP YAOU C ET D,COMMUNE,4,1363,BONOUA
